date,token_symbol,factor_name,factor_value,lookback_window,data_source
2026-01-17,1INCH,DEX_SHARE,0.0010225093642263316,1d,merged_volume_panel
2026-01-18,1INCH,DEX_SHARE,0.0025643473947939213,1d,merged_volume_panel
2026-01-19,1INCH,DEX_SHARE,0.015780679397321296,1d,merged_volume_panel
2026-01-20,1INCH,DEX_SHARE,0.0023873739064056584,1d,merged_volume_panel
2026-01-21,1INCH,DEX_SHARE,0.0017827153603453658,1d,merged_volume_panel
2026-01-22,1INCH,DEX_SHARE,0.001006654154603484,1d,merged_volume_panel
2026-01-23,1INCH,DEX_SHARE,0.0020375859296918263,1d,merged_volume_panel
2026-01-24,1INCH,DEX_SHARE,0.0006234411914085718,1d,merged_volume_panel
2026-01-24,1INCH,MOM_7D,-0.10334739498905976,7d,merged_volume_panel
2026-01-25,1INCH,DEX_SHARE,0.0003619431081320795,1d,merged_volume_panel
2026-01-25,1INCH,MOM_7D,-0.11118670566983037,7d,merged_volume_panel
2026-01-25,1INCH,MOM_7D_SKIP_1D,-0.10334739498905976,7d_skip_1d,merged_volume_panel
2026-01-26,1INCH,DEX_SHARE,8.244745617413493e-07,1d,merged_volume_panel
2026-01-26,1INCH,MOM_7D,-0.0595744001231481,7d,merged_volume_panel
2026-01-26,1INCH,MOM_7D_SKIP_1D,-0.11118670566983037,7d_skip_1d,merged_volume_panel
2026-01-27,1INCH,DEX_SHARE,2.3441165550679157e-06,1d,merged_volume_panel
2026-01-27,1INCH,MOM_7D,-0.17090916474220985,7d,merged_volume_panel
2026-01-27,1INCH,MOM_7D_SKIP_1D,-0.0595744001231481,7d_skip_1d,merged_volume_panel
2026-01-28,1INCH,DEX_SHARE,2.6570901112771167e-06,1d,merged_volume_panel
2026-01-28,1INCH,MOM_7D,-0.1968917220836298,7d,merged_volume_panel
2026-01-28,1INCH,MOM_7D_SKIP_1D,-0.17090916474220985,7d_skip_1d,merged_volume_panel
2026-01-29,1INCH,DEX_SHARE,4.951451785330883e-06,1d,merged_volume_panel
2026-01-29,1INCH,MOM_7D,-0.21085191280265306,7d,merged_volume_panel
2026-01-29,1INCH,MOM_7D_SKIP_1D,-0.1968917220836298,7d_skip_1d,merged_volume_panel
2026-01-30,1INCH,CEX_VOL_GROWTH_7D,1.4361036537035492,7d_vs_prev_7d,merged_volume_panel
2026-01-30,1INCH,DEX_SHARE,9.536230064389277e-07,1d,merged_volume_panel
2026-01-30,1INCH,DEX_VOL_GROWTH_7D,-3.901882252167912,7d_vs_prev_7d,merged_volume_panel
2026-01-30,1INCH,MOM_7D,-0.22244400599012412,7d,merged_volume_panel
2026-01-30,1INCH,MOM_7D_SKIP_1D,-0.21085191280265306,7d_skip_1d,merged_volume_panel
2026-01-31,1INCH,CEX_VOL_GROWTH_7D,1.5802102895736205,7d_vs_prev_7d,merged_volume_panel
2026-01-31,1INCH,DEX_SHARE,8.129017675654881e-06,1d,merged_volume_panel
2026-01-31,1INCH,DEX_VOL_GROWTH_7D,-4.4142691754162335,7d_vs_prev_7d,merged_volume_panel
2026-01-31,1INCH,MOM_14D,-0.4205882696823852,14d,merged_volume_panel
2026-01-31,1INCH,MOM_7D,-0.3172408746933253,7d,merged_volume_panel
2026-01-31,1INCH,MOM_7D_SKIP_1D,-0.22244400599012412,7d_skip_1d,merged_volume_panel
2026-02-01,1INCH,CEX_VOL_GROWTH_7D,1.7930676038278157,7d_vs_prev_7d,merged_volume_panel
2026-02-01,1INCH,DEX_SHARE,0.07092354331588498,1d,merged_volume_panel
2026-02-01,1INCH,DEX_VOL_GROWTH_7D,2.898335290275621,7d_vs_prev_7d,merged_volume_panel
2026-02-01,1INCH,MOM_14D,-0.2852583629916429,14d,merged_volume_panel
2026-02-01,1INCH,MOM_7D,-0.1740716573218125,7d,merged_volume_panel
2026-02-01,1INCH,MOM_7D_SKIP_1D,-0.3172408746933253,7d_skip_1d,merged_volume_panel
2026-02-02,1INCH,CEX_VOL_GROWTH_7D,1.905865062018073,7d_vs_prev_7d,merged_volume_panel
2026-02-02,1INCH,DEX_SHARE,0.12294966895004186,1d,merged_volume_panel
2026-02-02,1INCH,DEX_VOL_GROWTH_7D,5.323173790778178,7d_vs_prev_7d,merged_volume_panel
2026-02-02,1INCH,MOM_14D,-0.2674883317738789,14d,merged_volume_panel
2026-02-02,1INCH,MOM_7D,-0.20791393165073083,7d,merged_volume_panel
2026-02-02,1INCH,MOM_7D_SKIP_1D,-0.1740716573218125,7d_skip_1d,merged_volume_panel
2026-02-03,1INCH,CEX_VOL_GROWTH_7D,0.6507742960127445,7d_vs_prev_7d,merged_volume_panel
2026-02-03,1INCH,DEX_SHARE,0.07203796926380295,1d,merged_volume_panel
2026-02-03,1INCH,DEX_VOL_GROWTH_7D,5.849762762576184,7d_vs_prev_7d,merged_volume_panel
2026-02-03,1INCH,MOM_14D,-0.2251182400449243,14d,merged_volume_panel
2026-02-03,1INCH,MOM_7D,-0.054209075302714446,7d,merged_volume_panel
2026-02-03,1INCH,MOM_7D_SKIP_1D,-0.20791393165073083,7d_skip_1d,merged_volume_panel
2026-02-04,1INCH,CEX_VOL_GROWTH_7D,0.21295263236959988,7d_vs_prev_7d,merged_volume_panel
2026-02-04,1INCH,DEX_SHARE,0.07569735851211568,1d,merged_volume_panel
2026-02-04,1INCH,DEX_VOL_GROWTH_7D,6.35631948379908,7d_vs_prev_7d,merged_volume_panel
2026-02-04,1INCH,MOM_14D,-0.29093259771922886,14d,merged_volume_panel
2026-02-04,1INCH,MOM_7D,-0.09404087563559907,7d,merged_volume_panel
2026-02-04,1INCH,MOM_7D_SKIP_1D,-0.054209075302714446,7d_skip_1d,merged_volume_panel
2026-02-05,1INCH,CEX_VOL_GROWTH_7D,0.08730343183038958,7d_vs_prev_7d,merged_volume_panel
2026-02-05,1INCH,DEX_SHARE,0.07335387424643625,1d,merged_volume_panel
2026-02-05,1INCH,DEX_VOL_GROWTH_7D,6.8073672957502795,7d_vs_prev_7d,merged_volume_panel
2026-02-05,1INCH,MOM_14D,-0.4491622566603525,14d,merged_volume_panel
2026-02-05,1INCH,MOM_7D,-0.23831034385769928,7d,merged_volume_panel
2026-02-05,1INCH,MOM_7D_SKIP_1D,-0.09404087563559907,7d_skip_1d,merged_volume_panel
2026-02-06,1INCH,CEX_VOL_GROWTH_7D,0.02371396933165689,7d_vs_prev_7d,merged_volume_panel
2026-02-06,1INCH,DEX_SHARE,0.10329439124705445,1d,merged_volume_panel
2026-02-06,1INCH,DEX_VOL_GROWTH_7D,7.98949602409217,7d_vs_prev_7d,merged_volume_panel
2026-02-06,1INCH,MOM_14D,-0.36702523480123184,14d,merged_volume_panel
2026-02-06,1INCH,MOM_7D,-0.14458122881110755,7d,merged_volume_panel
2026-02-06,1INCH,MOM_7D_SKIP_1D,-0.23831034385769928,7d_skip_1d,merged_volume_panel
2026-02-07,1INCH,CEX_VOL_GROWTH_7D,-0.16677868647807495,7d_vs_prev_7d,merged_volume_panel
2026-02-07,1INCH,DEX_SHARE,0.027410212606611646,1d,merged_volume_panel
2026-02-07,1INCH,DEX_VOL_GROWTH_7D,8.530591391210573,7d_vs_prev_7d,merged_volume_panel
2026-02-07,1INCH,MOM_14D,-0.36903554788305604,14d,merged_volume_panel
2026-02-07,1INCH,MOM_7D,-0.0517946731897307,7d,merged_volume_panel
2026-02-07,1INCH,MOM_7D_SKIP_1D,-0.14458122881110755,7d_skip_1d,merged_volume_panel
2026-02-08,1INCH,CEX_VOL_GROWTH_7D,-0.7175118428570137,7d_vs_prev_7d,merged_volume_panel
2026-02-08,1INCH,DEX_SHARE,0.07577337294973648,1d,merged_volume_panel
2026-02-08,1INCH,DEX_VOL_GROWTH_7D,0.9996634438775863,7d_vs_prev_7d,merged_volume_panel
2026-02-08,1INCH,MOM_14D,-0.3248536045601266,14d,merged_volume_panel
2026-02-08,1INCH,MOM_7D,-0.15078194723831406,7d,merged_volume_panel
2026-02-08,1INCH,MOM_7D_SKIP_1D,-0.0517946731897307,7d_skip_1d,merged_volume_panel
