date,token_symbol,factor_name,factor_value,lookback_window,factor_data_source,price_usd,cex_volume_usd,dex_volume_usd,dex_share,return_1d,future_return_1d,future_return_3d,future_return_7d
2026-01-09,AAVE,DEX_SHARE,0.037821362246436514,1d,merged_volume_panel,165.7,62513677.1688111,2457290.5038492014,0.037821362246436514,,-0.004586602293301101,-0.004224502112251005,0.0582377791188895
2026-01-09,ARB,DEX_SHARE,0.3239436386860524,1d,merged_volume_panel,0.2075,22631320.65191067,10844173.326025764,0.3239436386860524,,-0.0028915662650601526,-0.032289156626506,0.011084337349397622
2026-01-09,CRV,DEX_SHARE,0.044903463726900676,1d,merged_volume_panel,0.4079,19935869.93376367,937276.577222344,0.044903463726900676,,-0.0017161068889433029,-0.04143172346163271,0.04486393723951965
2026-01-09,ENA,DEX_SHARE,0.013114313425292448,1d,merged_volume_panel,0.2327,49101171.94504703,652485.0519126235,0.013114313425292448,,-0.02406532015470564,-0.0803609798023206,-0.048560378169316576
2026-01-09,LDO,DEX_SHARE,0.034287701323616936,1d,merged_volume_panel,0.6389,9799188.34450163,347921.05643746525,0.034287701323616936,,-0.011582407262482497,-0.04820785725465648,-0.04820785725465648
2026-01-09,LINK,DEX_SHARE,0.053532123738705424,1d,merged_volume_panel,13.14,115481939.54988055,6531646.379790307,0.053532123738705424,,-0.0007610350076103778,-0.004566210045662156,0.044901065449010735
2026-01-09,OP,DEX_SHARE,0.07703168299944597,1d,merged_volume_panel,0.3151,15349880.79984496,1281113.4792747488,0.07703168299944597,,0.008886067914947615,-0.01999365280863208,0.07902253252935587
2026-01-09,PENDLE,DEX_SHARE,0.08887430889925646,1d,merged_volume_panel,2.092,11372931.32068165,1109354.5283123066,0.08887430889925646,,-0.012428298279158811,0.01099426386233282,0.015774378585085902
2026-01-09,PEPE,DEX_SHARE,0.013415004874808734,1d,merged_volume_panel,6.12e-06,201589168.77872092,2741091.4368629954,0.013415004874808734,,-0.02941176470588236,-0.06209150326797386,-0.03104575163398693
2026-01-09,UNI,DEX_SHARE,0.026478870250253295,1d,merged_volume_panel,5.467,68773663.22977342,1870579.7436198483,0.026478870250253295,,0.001646241082860822,-0.018291567587342183,-0.027803182732760057
2026-01-10,AAVE,DEX_SHARE,0.0561196466330049,1d,merged_volume_panel,164.94,27890539.49125617,1658268.6725809919,0.0561196466330049,-0.004586602293301101,0.01824906026433859,0.07760397720383172,0.05395901539953929
2026-01-10,ARB,DEX_SHARE,0.36216135797418225,1d,merged_volume_panel,0.2069,11469806.528221328,6512494.593881377,0.36216135797418225,-0.0028915662650601526,-0.013049782503624985,0.0700821652972452,0.04688255195746738
2026-01-10,CRV,DEX_SHARE,0.04974521938949048,1d,merged_volume_panel,0.4072,8963569.199275482,469237.0145660986,0.04974521938949048,-0.0017161068889433029,-0.015225933202357544,0.06458742632612968,0.024312377210216063
2026-01-10,ENA,DEX_SHARE,0.021199288954236048,1d,merged_volume_panel,0.2271,26231689.719795648,568137.2764162315,0.021199288954236048,-0.02406532015470564,0.006164685160722216,0.059445178335534976,-0.03566710700132103
2026-01-10,LDO,DEX_SHARE,0.11288368730325136,1d,merged_volume_panel,0.6315,3234096.067000177,411531.93094389717,0.11288368730325136,-0.011582407262482497,-0.0007917656373712667,0.05320665083135401,-0.037688044338875626
2026-01-10,LINK,DEX_SHARE,0.08706602665421478,1d,merged_volume_panel,13.13,52562566.152265176,5012863.930186628,0.08706602665421478,-0.0007610350076103778,0.006092916984006047,0.07083015993907082,0.04722010662604714
2026-01-10,OP,DEX_SHARE,0.09110758733890363,1d,merged_volume_panel,0.3179,9896897.64815008,992067.3275542444,0.09110758733890363,0.008886067914947615,-0.006605850896508336,0.1541365209185277,0.09059452658068579
2026-01-10,PENDLE,DEX_SHARE,0.06130118414085517,1d,merged_volume_panel,2.066,6146996.567766941,401426.0614241884,0.06130118414085517,-0.012428298279158811,0.06485963213939994,0.09148112294288491,0.019361084220716362
2026-01-10,PEPE,DEX_SHARE,0.011168170179777026,1d,merged_volume_panel,5.94e-06,84823907.52137402,958027.2458306735,0.011168170179777026,-0.02941176470588236,-0.023569023569023462,0.10606060606060597,-0.025252525252525304
2026-01-10,UNI,DEX_SHARE,0.02888501165279503,1d,merged_volume_panel,5.476,29003659.3821136,862689.8454650552,0.02888501165279503,0.001646241082860822,-0.0036523009495981196,0.046384222059897784,-0.02264426588750912
2026-01-11,AAVE,DEX_SHARE,0.05728947605107229,1d,merged_volume_panel,167.95,48558367.262611516,2950941.299262791,0.05728947605107229,0.01824906026433859,-0.01756475141411129,0.06257814825841046,0.005299196189342048
2026-01-11,ARB,DEX_SHARE,0.35906826844134093,1d,merged_volume_panel,0.2042,11302109.018307919,6331764.390990638,0.35906826844134093,-0.013049782503624985,-0.016650342801175277,0.06464250734573951,0.00930460333006855
2026-01-11,CRV,DEX_SHARE,0.04337454729164858,1d,merged_volume_panel,0.401,12475438.659524158,565651.3765022756,0.04337454729164858,-0.015225933202357544,-0.02493765586034913,0.06608478802992512,-0.0009975062344139696
2026-01-11,ENA,DEX_SHARE,0.013533983021862353,1d,merged_volume_panel,0.2285,31571792.900020186,433154.41355756036,0.013533983021862353,0.006164685160722216,-0.06345733041575496,0.0393873085339167,-0.10547045951859957
2026-01-11,LDO,DEX_SHARE,0.05222793494603377,1d,merged_volume_panel,0.631,6042585.648803514,332982.7727657044,0.05222793494603377,-0.0007917656373712667,-0.036291600633914456,0.027892234548335892,-0.08225039619651353
2026-01-11,LINK,DEX_SHARE,0.08737793913971457,1d,merged_volume_panel,13.21,81262576.37860236,7780390.982936098,0.08737793913971457,0.006092916984006047,-0.009841029523088629,0.06813020439061312,0.00832702498107496
2026-01-11,OP,DEX_SHARE,0.07531652406641572,1d,merged_volume_panel,0.3158,13820350.782909822,1125683.3386109928,0.07531652406641572,-0.006605850896508336,-0.02216592780240656,0.11304623179227336,0.024699176694110037
2026-01-11,PENDLE,DEX_SHARE,0.05978370379776579,1d,merged_volume_panel,2.2,18970902.716395665,1206265.8702623472,0.05978370379776579,0.06485963213939994,-0.03863636363636358,0.020454545454545503,-0.10181818181818192
2026-01-11,PEPE,DEX_SHARE,0.010022215159569029,1d,merged_volume_panel,5.8e-06,130584385.84932318,1321994.120982268,0.010022215159569029,-0.023569023569023462,-0.010344827586206917,0.07586206896551717,-0.05689655172413799
2026-01-11,UNI,DEX_SHARE,0.02662689734539268,1d,merged_volume_panel,5.456,34652582.979909144,947931.2375104234,0.02662689734539268,-0.0036523009495981196,-0.016312316715542563,0.04123900293255134,-0.06616568914956023
2026-01-12,AAVE,DEX_SHARE,0.029527207422592763,1d,merged_volume_panel,165.0,117973975.19662948,3589427.8157425467,0.029527207422592763,-0.01756475141411129,0.07721212121212129,0.040909090909091006,-0.006303030303030255
2026-01-12,ARB,DEX_SHARE,0.38795528021844616,1d,merged_volume_panel,0.2008,18784028.654486403,11906586.013655247,0.38795528021844616,-0.016650342801175277,0.10258964143426308,0.045318725099601664,-0.03685258964143434
2026-01-12,CRV,DEX_SHARE,0.06023770846141408,1d,merged_volume_panel,0.391,15450600.134099357,990366.1328100311,0.06023770846141408,-0.02493765586034913,0.10869565217391308,0.12122762148337585,-0.012020460358056373
2026-01-12,ENA,DEX_SHARE,0.009433805522820917,1d,merged_volume_panel,0.214,51932007.155913,494582.248667597,0.009433805522820917,-0.06345733041575496,0.1242990654205609,0.04813084112149535,-0.08971962616822426
2026-01-12,LDO,DEX_SHARE,0.08632810972423596,1d,merged_volume_panel,0.6081,9819975.738012046,927838.485590899,0.08632810972423596,-0.036291600633914456,0.09373458312777516,0.016444663706627116,-0.08205887189606964
2026-01-12,LINK,DEX_SHARE,0.09213370848759067,1d,merged_volume_panel,13.08,119632658.76088251,12140775.145984039,0.09213370848759067,-0.009841029523088629,0.07492354740061158,0.05504587155963314,-0.015290519877675823
