date,token_symbol,price_usd,cex_volume_usd,dex_volume_usd,total_volume_usd,dex_share,cex_to_dex_ratio,exchange_count,included_exchanges,chain,selected_chains,pool_count,included_dexes,included_pool_addresses,return_1d,future_return_1d,future_return_3d,future_return_7d
2026-01-19,AAVE,163.96,87483404.73821339,3093424.71964309,90576829.45785648,0.034152495049326013,28.28043759484374,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,-0.028903103529969165,-0.06507684801171032,-0.0407416443034887,-0.05946572334715783
2026-01-20,AAVE,153.29,49781721.67342473,2713869.696684285,52495591.370109014,0.051697097334340386,18.343445794116928,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,-0.06507684801171032,0.04025050557766341,0.024724378628742993,0.03731489333942206
2026-01-21,AAVE,159.46,101775680.20951283,3051555.3667696947,104827235.57628253,0.029110329486358392,33.35206738105171,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,0.04025050557766341,-0.013671140097830214,-0.02031857519127056,0.004640662235043225
2026-01-22,AAVE,157.28,127500144.99471885,1008167.9824943629,128508312.97721322,0.007845157711105652,126.46716341781044,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,-0.013671140097830214,-0.0012716174974567451,-0.05925737538148523,-0.06370803662258395
2026-01-23,AAVE,157.08,129532040.9882991,1107145.8548404356,130639186.84313954,0.008474837310261295,116.99636540387677,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,-0.0012716174974567451,-0.005474917239623234,-0.018270944741533013,-0.12140310669722443
2026-01-24,AAVE,156.22,32114297.499490872,714152.9269026399,32828450.426393513,0.021754085789211456,44.96837622548734,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,-0.005474917239623234,-0.052874151837152716,0.017859429010369965,-0.17392139290743813
2026-01-25,AAVE,147.96,106232021.17455465,1721400.079233513,107953421.25378816,0.01594576678757282,61.712569004793195,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,-0.052874151837152716,0.04224114625574482,0.08272506082725051,-0.16038118410381186
2026-01-26,AAVE,154.21,116763258.33145273,1282177.9795200925,118045436.31097282,0.010861732732660574,91.0663419560178,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,0.04224114625574482,0.031126386096880676,-0.04506841320277555,-0.16749886518384027
2026-01-27,AAVE,159.01,112863330.3748306,2789225.2002222016,115652555.5750528,0.024117281164722143,40.464043694227136,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,0.031126386096880676,0.007483806049934039,-0.13206716558707,-0.21206213445695232
2026-01-28,AAVE,160.2,140791334.1146763,4231468.983561154,145022803.09823745,0.029177956108700963,33.27244856612135,10,binance;bitget;bybit;coinbase;gate;htx;kraken;kucoin;mexc;okx,eth,eth,5,balancer_ethereum;uniswap-v4-ethereum;uniswap_v3,0x1c60dc7ce348dc9f1e8992c027350acfda4ba66e2365aa87cbdd98c490185088;0x2187d779d9b173dd7202b38b54dca6eb04d1b32ca261980869195b5b9fa97ef8;0x3de27efa2f1aa663ae5d458857e731c129069f29;0x4674abc5796e1334b5075326b39b748bee9eaa34;0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,0.007483806049934039,-0.08077403245942572,-0.1944444444444443,-0.2275280898876404
