token_symbol,lag,corr_cex_t_dex_t_plus_lag,n_obs
AAVE,-7,0.028273610582898418,163
AAVE,-6,0.03272192608714751,164
AAVE,-5,0.006989138591051223,165
AAVE,-4,0.0005814770057774229,166
AAVE,-3,0.04670890281902156,167
AAVE,-2,0.16453252310687216,168
AAVE,-1,0.23193871238729893,169
AAVE,0,0.466493728717169,170
AAVE,1,0.25218142553983214,169
AAVE,2,0.14621111484695853,168
AAVE,3,0.07415856148187323,167
AAVE,4,-0.0052267460930657764,166
AAVE,5,0.02167003857748321,165
AAVE,6,-0.01723187493370567,164
AAVE,7,0.02338652951347085,163
ARB,-7,0.061422708847610724,163
ARB,-6,0.06078847866351794,164
ARB,-5,0.09644140405304143,165
ARB,-4,0.15384742574724983,166
ARB,-3,0.22268437592021,167
ARB,-2,0.3730117461617875,168
ARB,-1,0.5052558044546736,169
ARB,0,0.8020127771611779,170
ARB,1,0.5348175568115426,169
ARB,2,0.3762609560275139,168
ARB,3,0.27136177591487404,167
ARB,4,0.23668103305874538,166
ARB,5,0.21321840626442468,165
ARB,6,0.17380645187061802,164
ARB,7,0.18961908066134625,163
CRV,-7,0.39390860404037126,163
CRV,-6,0.3548815693282046,164
CRV,-5,0.23181664426184023,165
CRV,-4,0.12640332022307837,166
CRV,-3,0.07672150525440871,167
CRV,-2,0.17028860208393842,168
CRV,-1,0.270454860984746,169
CRV,0,0.39998993944693034,170
CRV,1,0.21917031861317823,169
CRV,2,0.02697794524069579,168
CRV,3,-0.05145987279976517,167
CRV,4,-0.055483815220741764,166
CRV,5,-0.09185985025438075,165
CRV,6,-0.017459617239703153,164
CRV,7,-0.009032583992094813,163
ENA,-7,0.11637503602057389,163
ENA,-6,0.11312492720249012,164
ENA,-5,0.038554515298527305,165
ENA,-4,-0.01506888747708239,166
ENA,-3,0.08163753273818461,167
ENA,-2,0.2219468454030681,168
ENA,-1,0.45117590827034276,169
ENA,0,0.6333054090899379,170
ENA,1,0.4544012288818618,169
ENA,2,0.25403737805223064,168
ENA,3,0.16148553051917303,167
ENA,4,0.1048038130578836,166
ENA,5,0.11141219782128818,165
ENA,6,0.2040226919079374,164
ENA,7,0.28618320733038144,163
LDO,-7,0.0732688660129146,163
LDO,-6,0.047078832590422476,164
LDO,-5,-0.0001486670749181322,165
LDO,-4,-0.06540602228720947,166
LDO,-3,-0.02234056758428265,167
LDO,-2,0.0729417638643014,168
LDO,-1,0.1929538276590175,169
LDO,0,0.38894110477888244,170
LDO,1,0.1682142200854375,169
LDO,2,0.015414950003360541,168
LDO,3,-0.12615979526698082,167
LDO,4,-0.1426324386786627,166
LDO,5,-0.10978851049783524,165
LDO,6,-0.11421343582749854,164
LDO,7,-0.12622267916699473,163
LINK,-7,0.13036364658823613,163
LINK,-6,0.06534722010921976,164
LINK,-5,0.08609982681540729,165
LINK,-4,0.11303492189011856,166
LINK,-3,0.01972825688235668,167
LINK,-2,0.12563934164306706,168
LINK,-1,0.36189005223322274,169
LINK,0,0.6594139080746579,170
LINK,1,0.3942886100732311,169
LINK,2,0.2254881572943719,168
LINK,3,0.15331982972182703,167
LINK,4,0.03093807144694074,166
LINK,5,0.012902311784138297,165
LINK,6,0.07780264898667162,164
LINK,7,0.1290807769697164,163
OP,-7,0.12190625181740566,163
OP,-6,0.06500951458007218,164
OP,-5,0.0276548218571495,165
OP,-4,-0.0009390596107172155,166
OP,-3,0.08644626459894433,167
OP,-2,0.23078859788807699,168
OP,-1,0.38703146033501096,169
OP,0,0.5840193954240065,170
OP,1,0.3136477165148613,169
OP,2,0.14254069244000836,168
OP,3,-0.059077861177007175,167
OP,4,-0.08764483967130847,166
OP,5,-0.12250846606389003,165
OP,6,-0.13494100353416008,164
OP,7,-0.0600297499164942,163
PENDLE,-7,-0.008479747231571988,163
PENDLE,-6,0.019026194267951227,164
PENDLE,-5,0.010766987091712367,165
PENDLE,-4,-0.0028594585217056353,166
PENDLE,-3,0.05878615382049011,167
PENDLE,-2,0.14734722861895444,168
PENDLE,-1,0.3214408955827389,169
PENDLE,0,0.5875787512356965,170
PENDLE,1,0.3608857849159858,169
PENDLE,2,0.2242548539744716,168
PENDLE,3,0.19801981552209752,167
PENDLE,4,0.1101652330088246,166
PENDLE,5,0.1390943685471014,165
PENDLE,6,0.2501321601516228,164
PENDLE,7,0.21835930351211377,163
PEPE,-7,0.1444830637610917,163
PEPE,-6,0.15158296180633438,164
PEPE,-5,0.12409251862734644,165
PEPE,-4,-0.01362884326110256,166
PEPE,-3,0.05532997324242694,167
PEPE,-2,0.1650702931226021,168
PEPE,-1,0.3800814119118199,169
PEPE,0,0.8328725478722706,170
PEPE,1,0.4220019535240239,169
PEPE,2,0.17626195524308336,168
PEPE,3,0.01626041423540786,167
PEPE,4,-0.09289169151777824,166
PEPE,5,-0.07925313653533055,165
PEPE,6,-0.03937912853747258,164
PEPE,7,-0.018827225627338462,163
UNI,-7,0.0989655761774571,163
UNI,-6,0.0822185565296977,164
UNI,-5,0.10387045620810838,165
UNI,-4,0.03403529269762898,166
UNI,-3,0.06261469895276738,167
UNI,-2,0.1684193891302935,168
UNI,-1,0.2723009244901333,169
UNI,0,0.7121205000889671,170
UNI,1,0.240416282825401,169
UNI,2,0.11571479395988192,168
UNI,3,-0.024002577422330463,167
UNI,4,-0.016498706255448272,166
UNI,5,0.07276974660741244,165
UNI,6,0.08476632859381471,164
UNI,7,0.14281947528080866,163
