token_symbol,row_count,log_volume_corr,z_score_corr
AAVE,178,0.4431082853123054,0.5538789046080377
ARB,178,0.8134695674124152,0.8152718059703656
CRV,178,0.703668819776996,0.6763982264908789
ENA,178,0.5673031184723759,0.6329196102263898
LDO,178,0.3309678895237531,0.4076894362769715
LINK,178,0.7076635718468645,0.6889493012747648
OP,178,0.7308591115967217,0.6639172650127447
PENDLE,178,0.8071768651894196,0.7655634880325239
PEPE,178,0.8707713415618207,0.8195929010624909
UNI,178,0.6506641626388288,0.6762509659681666
