dex_vol_z_bucket,row_count,dex_vol_z_mean,future_return_1d_mean,future_return_3d_mean,future_return_7d_mean,future_return_1d_median,future_return_3d_median,future_return_7d_median
0,338,-1.5792522337437298,-0.0017821115563651456,-0.0024111303169953367,-0.014059840208929024,-0.0040246078062469715,-0.0008148552716242818,-0.016309012875536544
1,338,-0.7532810496390138,0.00020648891854983746,-0.007358079104219471,-0.028870214441708363,-0.0011806375442738881,-0.009052154864799766,-0.031562826471567995
2,338,-0.17036465237615786,-0.004752882510864984,-0.012412756283758934,-0.026173709436299392,-0.00533007142786962,-0.012115791185558722,-0.026808110367892934
3,338,0.41154235981875825,-0.00977101572390307,-0.01686436211218311,-0.023894163119869964,-0.0081503316138542,-0.018942920412162112,-0.03910088865656025
4,338,1.4496251608305304,0.00042520504588756133,-0.005718633526561391,-0.019409681833579575,-0.004209844559585618,-0.017194570135746545,-0.026731157303529374
